#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ABAT	ACADS	9606.ENSP00000379845	9606.ENSP00000242592	0.042	0	0	0	0.071	0	0.800	0.092	0.816
ABAT	ALDH1L2	9606.ENSP00000379845	9606.ENSP00000258494	0.055	0	0	0	0.139	0.099	0.217	0.116	0.400
ABAT	ALDH2	9606.ENSP00000379845	9606.ENSP00000261733	0.055	0	0	0	0.156	0.099	0.918	0.208	0.945
ABAT	HDC	9606.ENSP00000379845	9606.ENSP00000267845	0.057	0	0	0	0.113	0.092	0.259	0.137	0.425
ABAT	GADL1	9606.ENSP00000379845	9606.ENSP00000282538	0.057	0	0	0	0.105	0.092	0.922	0.276	0.949
ABAT	ALDH1A1	9606.ENSP00000379845	9606.ENSP00000297785	0.055	0	0	0	0.141	0.099	0.217	0.170	0.438
ABAT	PIPOX	9606.ENSP00000379845	9606.ENSP00000317721	0.061	0	0	0	0.226	0	0.124	0.232	0.446
ABAT	ALDH1A3	9606.ENSP00000379845	9606.ENSP00000332256	0.055	0	0	0	0.139	0.099	0.217	0.227	0.476
ABAT	GAD1	9606.ENSP00000379845	9606.ENSP00000350928	0.057	0	0	0	0.124	0.092	0.922	0.642	0.975
ABAT	ASS1	9606.ENSP00000379845	9606.ENSP00000361471	0	0	0	0	0.104	0	0	0.445	0.482
ABAT	MAOB	9606.ENSP00000379845	9606.ENSP00000367309	0.057	0	0	0	0.139	0	0	0.447	0.512
ABAT	SLC6A1	9606.ENSP00000379845	9606.ENSP00000494136	0	0	0	0	0.139	0	0	0.355	0.421
ABAT	SYBU	9606.ENSP00000379845	9606.ENSP00000407118	0	0	0	0	0.083	0.174	0	0.311	0.432
ABAT	DDC	9606.ENSP00000379845	9606.ENSP00000403644	0.057	0	0	0	0.131	0.092	0.259	0.232	0.499
ABCA13	DRD4	9606.ENSP00000411096	9606.ENSP00000176183	0	0	0	0	0.046	0	0	0.500	0.502
ABCA13	APOA1	9606.ENSP00000411096	9606.ENSP00000236850	0	0	0	0	0	0.292	0	0.329	0.505
ABCA13	CHI3L1	9606.ENSP00000411096	9606.ENSP00000255409	0	0	0	0	0.063	0	0	0.437	0.450
ABCA13	WDR63	9606.ENSP00000411096	9606.ENSP00000294664	0	0	0	0	0.056	0	0	0.431	0.440
ABCA13	SLC35F1	9606.ENSP00000411096	9606.ENSP00000353557	0	0	0	0	0.067	0	0	0.409	0.425
ABCA13	OSBPL6	9606.ENSP00000411096	9606.ENSP00000376293	0	0	0	0	0.042	0	0	0.425	0.425
ABCA13	SLC4A4	9606.ENSP00000411096	9606.ENSP00000393557	0	0	0	0	0	0	0	0.430	0.430
ABCA13	RGS4	9606.ENSP00000411096	9606.ENSP00000397181	0	0	0	0	0.068	0	0	0.388	0.405
ABCB1	CD4	9606.ENSP00000478255	9606.ENSP00000011653	0	0	0	0	0	0.147	0	0.369	0.438
ABCB1	OPRD1	9606.ENSP00000478255	9606.ENSP00000234961	0	0	0	0	0.074	0	0	0.447	0.466
ABCB1	LGALS3	9606.ENSP00000478255	9606.ENSP00000254301	0	0	0	0	0	0.407	0	0.187	0.498
